si.no, entrance exams, location, institute name, college name, type, year of inspection of college, fees(approx)
213,MBBS,Karnataka,"Kanachur Institute of Medical Sciences, Mangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2016,200
214,MBBS,Karnataka,"Karnataka Institute of Medical Sciences, Hubballi","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,1957,200
215,MBBS,Karnataka,"Karwar Institute of Medical Sciences, Karwar","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2016,150
216,MBBS,Karnataka,"Kasturba Medical College, Mangalore","Manipal Academy of Higher Education (Deemed University), Manipal",Trust,1955,250
217,MBBS,Karnataka,"Kasturba Medical College, Manipal","Manipal Academy of Higher Education (Deemed University), Manipal",Trust,1953,250
218,MBBS,Karnataka,"Kempegowda Institute of Medical Sciences, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1980,250
219,MBBS,Karnataka,"Khaja Bandanawaz University - Faculty of Medical Sciences, Gulbarga",Khaja Bandanawaz University,Trust,2000,150
220,MBBS,Karnataka,"Kodagu Institute of Medical Sciences, Kodagu","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2016,150
221,MBBS,Karnataka,"Koppal Institute of Medical Sciences, Koppal","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2015,150
222,MBBS,Karnataka,"K S Hegde Medical Academy, Mangalore","Nitte University (Deemed), Mangalore",Trust,1999,250
223,MBBS,Karnataka,"K V G Medical College, Sullia","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1999,100
224,MBBS,Karnataka,"Mahadevappa Rampure Medical College, Kalaburagi, Gulbarga","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1963,150
225,MBBS,Karnataka,"Mandya Institute of Medical Sciences, Mandya","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2006,150
226,MBBS,Karnataka,"M S Ramaiah Medical College, Bangalore","M.S. Ramaiah University of Applied Sciences, Bangalore.",Trust,1979,150
227,MBBS,Karnataka,"MVJ Medical College and Research Hospital, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1997,200
228,MBBS,Karnataka,"Mysore Medical College and Research Instt. (Prev.name Government Medical College), Mysore","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,1924,200
229,MBBS,Karnataka,"Navodaya Medical College, Raichur","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2002,200
230,MBBS,Karnataka,PES University Institute of Medical Sciences and Reseach Bangalore,PES University,Private,2024,100
231,MBBS,Karnataka,"Raichur Institute of Medical Sciences,Raichur","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2007,150
232,MBBS,Karnataka,"Rajarajeswari Medical College & Hospital, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2005,250
233,MBBS,Karnataka,"Sambharam Institute of Medical Sciences & Research, Kolar","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2016,
234,MBBS,Karnataka,"Sapthagiri Institute of Medical Sciences & Research Centre, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2011,250
235,MBBS,Karnataka,"SDM College of Medical Sciences & Hospital, Sattur, Dharwad","Shri Dharmasthala Manjunatheshwara University, Karnataka",Trust,2003,150
236,MBBS,Karnataka,"Shimoga Institute of Medical Sciences,Shimoga","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2007,150
237,MBBS,Karnataka,Shri Atal Bihari Vajpayee Medical College & Research Institute,"Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2019,150
238,MBBS,Karnataka,"Shri B M Patil Medical College, Hospital & Research Centre, Vijayapura(Bijapur","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1986,200
239,MBBS,Karnataka,"Shridevi Institute of Medical Sciences & Research Hospital, Tumkur","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2013,150
240,MBBS,Karnataka,"Siddaganga Medical College and Research Institute, Tumakuru","Rajiv Gandhi University of Health Sciences, Karnataka",Private,,150
241,MBBS,Karnataka,"S. Nijalingappa Medical College & HSK Hospital & Research Centre, Bagalkot","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2002,250
242,MBBS,Karnataka,Sri Chamundeshwari Medical College Hospital & Research Institute,"Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2023,150
243,MBBS,Karnataka,"Sri Devaraj URS Medical College, Kolar","Sri Devaraj Urs Academy of Higher Education and Research (Deemed University), Kolar",Trust,1986,200
244,MBBS,Karnataka,Sri Madhusudan Sai Institute of Medical Sciences and Research,Sri Sathya Sai University for Human Excellence,Trust,2023,50
245,MBBS,Karnataka,"Srinivas Institute of Medical Research Centre, Srinivasnagar, mangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2011,200
246,MBBS,Karnataka,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore","Sri Siddhartha Academy of Higher Education, Tumkur",Trust,2019,150
247,MBBS,Karnataka,"Sri Siddhartha Medical College, Tumkur","Sri Siddhartha Academy of Higher Education, Tumkur",Trust,1988,200
248,MBBS,Karnataka,SR Patil Medical College and Hospital,"Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2024,100
249,MBBS,Karnataka,"S S Institute of Medical Sciences& Research Centre, Davangere","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2006,200
250,MBBS,Karnataka,"St. Johns Medical College, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1963,150
251,MBBS,Karnataka,"Subbaiah Institute of Medical Sciences, Shimoga, Karnataka","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2012,200
252,MBBS,Karnataka,"The Oxford Medical College, Hospital & Research Centre, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Society,2014,200
253,MBBS,Karnataka,"Vijaynagar Institute of Medical Sciences, Bellary","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,1961,200
254,MBBS,Karnataka,"Vydehi Institute Of Medical Sciences & Research Centre, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2002,250
255,MBBS,Karnataka,"Yadgiri Institute of Medical Sciences, Yadgiri","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2022,150
256,MBBS,Karnataka,"Yenepoya Medical College, Mangalore",Yenepoya University (Deemed Manglore),Trust,1999,250
257,MBBS,Kerala,"Al-Azhar Medical College and Super Speciality Hospital, Thodupuzha","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2014,150
258,MBBS,Kerala,"Amala Institute of Medical Sciences, Thrissur","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2002,100
259,MBBS,Kerala,"Amrita School of Medicine, Elamkara, Kochi","Amrita Vishwa Vidyapeetham University (Deemed), Coimbatore",Trust,2000,150
260,MBBS,Kerala,"Azeezia Instt of Medical Science,Meeyannoor,Kollam","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2008,100
261,MBBS,Kerala,"Believers Church Medical College Hospital, Thiruvalla, Kerala","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2016,100
262,MBBS,Kerala,"Dr. Moopen s Medical College, Wayanad, Kerala","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2013,150
263,MBBS,Kerala,"Dr. Somervel Memorial CSI Hospital & Medical College, Karakonam, Thiruvananthapuram","Kerala University, Thiruvananthapuram",Trust,2001,150
264,MBBS,Kerala,"Government Medical College, Ernakulam","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,2000,110
265,MBBS,Kerala,"Government Medical College, Idukki","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,,100
266,MBBS,Kerala,"Government Medical College (Institute of Integrated Medical Sciences), Yakkara, Palakkad","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,2014,100
267,MBBS,Kerala,"Government Medical College, Konni","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,2022,100
268,MBBS,Kerala,"Government Medical College, Kottayam","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,1960,175
269,MBBS,Kerala,"Government Medical College, Kozhikode, Calicut",Calicut University,Govt.,1957,250
270,MBBS,Kerala,"Government Medical College, Manjeri, Malapuram Dist.","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,2013,110
271,MBBS,Kerala,"Government Medical College, Parippally, Kollam","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,2017,110
272,MBBS,Kerala,"Government Medical College, Thrissur","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,1981,175
273,MBBS,Kerala,"Govt. Medical College,Pariyaram, Kannur (Prev. Known as Academy of Medical Sciences)","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,1995,100
274,MBBS,Kerala,"Jubilee Mission Medical College & Research Institute, Thrissur","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2002,100
275,MBBS,Kerala,"Kannur Medical College, Kannur","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2006,150
276,MBBS,Kerala,"Karuna Medical College, Palakkad",Calicut University,Trust,2006,100
277,MBBS,Kerala,"KMCT Medical College,Kozhikode, Calicut","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2008,250
278,MBBS,Kerala,"Malabar Medical College, Kozhikode,Calicut","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2010,200
279,MBBS,Kerala,"Malankara Orthodox Syrian Church Medical College, Kolenchery","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2001,100
280,MBBS,Kerala,"Medical College, Thiruvananthapuram","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,1951,250
281,MBBS,Kerala,"M E S Medical College , Perintalmanna Malappuram Distt.Kerala","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2002,150
282,MBBS,Kerala,"Mount Zion Medical College, Chayalode, Ezhamkulam Adoor, Pathanamthitta","Kerala University of Health Sciences, Thrissur, Kerala",Society,2014,150
283,MBBS,Kerala,"Palakkad Institute of Medical Sciences, Palakkad Kerala",Kerala University of Health Sciences,Trust,2024,150
284,MBBS,Kerala,"P K Das Institute of Medical Sciences, Palakkad, Kerala","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2014,200
285,MBBS,Kerala,"Pushpagiri Institute Of Medical Sciences and Research Centre, Tiruvalla","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2002,100
286,MBBS,Kerala,"Sree Gokulam Medical College Trust & Research Foundation, Trivandrum","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2005,150
287,MBBS,Kerala,"Sree Narayana Instt. of Medical Sciences, Chalakka,Ernakulam","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2009,150
288,MBBS,Kerala,"Sree Uthradom Thiurnal Academy of Medical Sciences,Trivandrum","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2006,150
289,MBBS,Kerala,"T D Medical College, Alleppey (Allappuzha)","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,1963,175
290,MBBS,Kerala,"Travancore Medical College, Kollam","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2009,150
291,MBBS,Madhya Pradesh,"All India Institute of Medical Sciences, Bhopal","Statutory Autonomous, AIIMS(Bhopal)",Govt.,2012,125
292,MBBS,Madhya Pradesh,"Amaltas Institute of Medical Sciences, Dewas","Amaltas University, Dewas",Society,2016,250
293,MBBS,Madhya Pradesh,"Bundelkhand Medical College, Sagar","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2009,125
294,MBBS,Madhya Pradesh,"Chirayu Medical College and Hospital, Bairagarh,Bhopal","Chirayu University, Bhopal (M.P)",Trust,2011,250
295,MBBS,Madhya Pradesh,"Gajra Raja Medical College, Gwalior",Jiwaji University,Govt.,1946,200
296,MBBS,Madhya Pradesh,"Gandhi Medical College, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1955,250
297,MBBS,Madhya Pradesh,"Government Medical College, Chhindwara, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2019,100
298,MBBS,Madhya Pradesh,"Government Medical College, Datia, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,120
299,MBBS,Madhya Pradesh,"Government Medical College, Khandwa, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,120
300,MBBS,Madhya Pradesh,"Government Medical College, Ratlam","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,180
301,MBBS,Madhya Pradesh,"Government Medical College, Satna","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2023,150
302,MBBS,Madhya Pradesh,"Government Medical College, Seoni",Madhya Pradesh Medical Science University,Govt.,2024,100
303,MBBS,Madhya Pradesh,"Government Medical College, Shahdol, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2019,100
304,MBBS,Madhya Pradesh,"Government Medical College, Shivpuri, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2019,100
305,MBBS,Madhya Pradesh,"Government Medical College, Vidisha, MP","Madhya Pradesh Medical Science University, Jabalpur",Govt.,2018,180
306,MBBS,Madhya Pradesh,"Index Medical College Hospital & Research Centre,Indore","Malwanchal University, Indore",Trust,2007,250
307,MBBS,Madhya Pradesh,"LNCT Medical College & Sewakunj Hospital, Indore","Madhya Pradesh Medical Science University, Jabalpur",Society,2021,150
308,MBBS,Madhya Pradesh,"L.N. Medical College and Research Centre,Bhopal","LNCT University, Bhopal",Trust,2009,250
309,MBBS,Madhya Pradesh,"Mahaveer Institute of Medical Sciences & Research, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Society,2020,150
310,MBBS,Madhya Pradesh,"M G M Medical College, Indore","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1948,250
311,MBBS,Madhya Pradesh,"Netaji Subhash Chandra Bose Medical College, Jabalpur","Rani Durgavati Vishwa Vidyalaya, Jabalpur",Govt.,1955,250
312,MBBS,Madhya Pradesh,"Peoples College of Medical Sciences & Research Centre, Bhanpur, Bhopal","Peoples University, Bhopal",Trust,2005,250
313,MBBS,Madhya Pradesh,"Ram Krishna College Hospital & Research Centre, Bhopal","Madhya Pradesh Medical Science University, Jabalpur",Trust,2023,150
314,MBBS,Madhya Pradesh,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",Barkatullah University,Society,2014,150
315,MBBS,Madhya Pradesh,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","Vikram University, Ujjain",Trust,2001,150
316,MBBS,Madhya Pradesh,"School of Medical Sciences, Sri Satya Sai University of Technology and Medical Sciences","Madhya Pradesh Medical Science University, Jabalpur",Society,,100
317,MBBS,Madhya Pradesh,"Shyam Shah Medical College, Rewa","Madhya Pradesh Medical Science University, Jabalpur",Govt.,1963,150
318,MBBS,Madhya Pradesh,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",Sri Aurobindo University,Trust,2003,250
319,MBBS,Madhya Pradesh,"Sukh Sagar Medical College & Hospital, Jabalpur","Madhya Pradesh Medical Science University, Jabalpur",Trust,2021,150
320,MBBS,Madhya Pradesh,Sundarlal Patwa Govt. Medical College,Madhya Pradesh Medical Science University,Govt.,2024,100
321,MBBS,Madhya Pradesh,Virendra Kumar Sakhlecha Government Medical College,Madhya Pradesh Medical Science University,Govt.,2024,100
322,MBBS,Maharashtra,"ACPM Medical College, Dhule","Maharashtra University of Health Sciences, Nashik",Trust,1990,100
323,MBBS,Maharashtra,"All India Institute of Medical Sciences, Nagpur","Statutory Autonomous, AIIMS(New Delhi)",Govt.,2018,125
324,MBBS,Maharashtra,"Armed Forces Medical College, Pune","Maharashtra University of Health Sciences, Nashik",Govt.,1962,150
325,MBBS,Maharashtra,"Ashwini Rural Medical College, Hospital & Research Centre, Solapur","Maharashtra University of Health Sciences, Nashik",Trust,2012,100
326,MBBS,Maharashtra,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli","Bharati Vidyapeeth University (Deemed), Pune",Trust,2005,150
327,MBBS,Maharashtra,"Bharati Vidyapeeth University Medical College, Pune","Bharati Vidyapeeth University (Deemed), Pune",Trust,1989,150
328,MBBS,Maharashtra,"Bharatratna Atal Bihari Vajpayee Medical College, Pune","Maharashtra University of Health Sciences, Nashik",Trust,2022,100
329,MBBS,Maharashtra,"B. J. Govt. Medical College, Pune","Maharashtra University of Health Sciences, Nashik",Govt.,1964,250
330,MBBS,Maharashtra,"B.K.L. Walawalkar Rural Medical College, Ratnagiri","Maharashtra University of Health Sciences, Nashik",Trust,2015,150
331,MBBS,Maharashtra,"Datta Meghe Medical College, Nagpur",Datta Meghe Institute of Higher Education & Research (Declared as Deemed to be University),Private,2020,150
332,MBBS,Maharashtra,"Dr. D Y Patil Medical College, Hospital and Research Centre, Pimpri, Pune","Dr. D Y Patil University (Deemed), Pimpri, Pune",Trust,1995,250
333,MBBS,Maharashtra,"Dr. D Y Patil Medical College, Kolhapur","D.Y. Patil Education Society (Deemed University), Kolhapur",Trust,1989,150
334,MBBS,Maharashtra,Dr. N Y Tasgaonkar Institute of Medical Science,"Maharashtra University of Health Sciences, Nashik",Trust,2021,100
335,MBBS,Maharashtra,"Dr. Panjabrao Alias Bhausaheb Deshmukh Memorial Medical College, Amravati","Maharashtra University of Health Sciences, Nashik",Trust,1984,150
336,MBBS,Maharashtra,"Dr. Rajendra Gode Medical College, Amravati","Maharashtra University of Health Sciences, Nashik",Private,2023,150
337,MBBS,Maharashtra,"Dr. Shankarrao Chavan Govt. Medical College, Nanded","Maharashtra University of Health Sciences, Nashik",Govt.,1988,150
338,MBBS,Maharashtra,"Dr. Ulhas Patil Medical College & Hospital, Jalgaon","Maharashtra University of Health Sciences, Nashik",Trust,2008,200
339,MBBS,Maharashtra,"Dr Vaishampayan Memorial Medical College, Solapur","Maharashtra University of Health Sciences, Nashik",Govt.,1963,200
340,MBBS,Maharashtra,"Dr.Vasantrao Pawar Med. Col. Hosp. & Research Centre,Nasik (Prev. NDMVP Samaj Medical College)","Maharashtra University of Health Sciences, Nashik",Trust,1990,120
341,MBBS,Maharashtra,"Dr. Vithalrao Vikhe Patil Foundations Medical College & Hospital, Ahmednagar","Maharashtra University of Health Sciences, Nashik",Trust,2003,200
342,MBBS,Maharashtra,"Government Medical College, Akola","Maharashtra University of Health Sciences, Nashik",Govt.,2002,200
343,MBBS,Maharashtra,"Government Medical College, Alibag","Maharashtra University of Health Sciences, Nashik",Govt.,2021,100
344,MBBS,Maharashtra,"Government Medical College, Ambernath","Maharashtra University of Health Sciences, Nashik",Govt.,2024,100
345,MBBS,Maharashtra,"Government Medical College, Amravati","Maharashtra University of Health Sciences, Nashik",Govt.,2024,100
346,MBBS,Maharashtra,"Government Medical college and District Hospital, Ratnagiri","Maharashtra University of Health Sciences, Nashik",Govt.,2023,100
347,MBBS,Maharashtra,"Government Medical College, Aurangabad","Maharashtra University of Health Sciences, Nashik",Govt.,1956,200
348,MBBS,Maharashtra,"Government Medical College, Bhandara","Maharashtra University of Health Sciences, Nashik",Govt.,2024,100
349,MBBS,Maharashtra,"Government Medical College, Buldhana","Maharashtra University of Health Sciences, Nashik",Govt.,2024,100
350,MBBS,Maharashtra,"Government Medical College, Chandrapur","Maharashtra University of Health Sciences, Nashik",Govt.,2015,150
351,MBBS,Maharashtra,"Government Medical College, Gadchiroli","Maharashtra University of Health Sciences, Nashik",Govt.,2024,100
352,MBBS,Maharashtra,"Government Medical College, Gondia","Maharashtra University of Health Sciences, Nashik",Govt.,2016,150
353,MBBS,Maharashtra,"Government Medical College, Hingoli","Maharashtra University of Health Sciences, Nashik",Govt.,2024,100
354,MBBS,Maharashtra,"Government Medical College & Hospital, Baramati","Maharashtra University of Health Sciences, Nashik",Govt.,2019,100
355,MBBS,Maharashtra,"Government Medical College, Jalgaon","Maharashtra University of Health Sciences, Nashik",Govt.,2018,150
356,MBBS,Maharashtra,"Government Medical College, Jalna","Maharashtra University of Health Sciences, Nashik",Govt.,2024,100
357,MBBS,Maharashtra,"Government Medical College, Latur","Maharashtra University of Health Sciences, Nashik",Govt.,2002,150
358,MBBS,Maharashtra,"Government Medical College, Miraj","Maharashtra University of Health Sciences, Nashik",Govt.,1962,200
359,MBBS,Maharashtra,"Government Medical College, Mumbai","Maharashtra University of Health Sciences, Nashik",Govt.,2024,50
360,MBBS,Maharashtra,"Government Medical College, Nagpur","Maharashtra University of Health Sciences, Nashik",Govt.,1947,250
361,MBBS,Maharashtra,"Government Medical College, Nandurbar","Maharashtra University of Health Sciences, Nashik",Govt.,2020,100
362,MBBS,Maharashtra,"Government Medical College, Nashik","Maharashtra University of Health Sciences, Nashik",Govt.,2024,50
363,MBBS,Maharashtra,"Government Medical College, Osmanabad","Maharashtra University of Health Sciences, Nashik",Govt.,,100
364,MBBS,Maharashtra,"Government Medical College, Parbhani","Maharashtra University of Health Sciences, Nashik",Govt.,2023,100
365,MBBS,Maharashtra,"Government Medical College ,Satara","Maharashtra University of Health Sciences, Nashik",Govt.,2021,100
366,MBBS,Maharashtra,"Government Medical College, Sindhudurg","Maharashtra University of Health Sciences, Nashik",Govt.,2021,100
367,MBBS,Maharashtra,"Government Medical College, Washim","Maharashtra University of Health Sciences, Nashik",Govt.,2024,100
368,MBBS,Maharashtra,"Grant Medical College, Mumbai","Maharashtra University of Health Sciences, Nashik",Govt.,1845,250
369,MBBS,Maharashtra,"H.B.T. Medical College & Dr.R.N. Cooper Municipal General Hospital, Juhu, Mumbai","Maharashtra University of Health Sciences, Nashik",Govt.,2015,200
370,MBBS,Maharashtra,"Indian Institute of Medical Science & Research, Jalna","Maharashtra University of Health Sciences, Nashik",Trust,2013,150
371,MBBS,Maharashtra,"Indira Gandhi Medical College & Hospital, Nagpur","Maharashtra University of Health Sciences, Nashik",Govt.,1968,200
372,MBBS,Maharashtra,"Jawaharlal Nehru Medical College, Sawangi (Meghe), Wardha",Datta Meghe Institute of Higher Education & Research (Declared as Deemed to be University),Trust,1990,250
373,MBBS,Maharashtra,"KJ Somaiyya Medical College & Research Centre, Mumbai","Maharashtra University of Health Sciences, Nashik",Trust,1991,100
374,MBBS,Maharashtra,"Krishna Institute of Medical Sciences, Karad","Krishna Vishwa Vidyapeeth, Karad, Maharashtra",Trust,1984,250
375,MBBS,Maharashtra,"Lokmanya Tilak Municipal Medical College, Sion, Mumbai","Maharashtra University of Health Sciences, Nashik",Govt.,1964,200
376,MBBS,Maharashtra,"Maharashtra Institute of Medical Education & Research, Talegaon,Pune","Maharashtra University of Health Sciences, Nashik",Trust,1994,150
377,MBBS,Maharashtra,"Maharashtra Institute of Medical Sciences & Research, Latur","Maharashtra University of Health Sciences, Nashik",Trust,1990,150
378,MBBS,Maharashtra,"Mahatma Gandhi Institute of Medical Sciences, Sevagram, Wardha","Maharashtra University of Health Sciences, Nashik",Trust,1969,100
379,MBBS,Maharashtra,"Mahatma Gandhi Mission Medical College, Vashi","MGM Institute of Health Sciences (Deemed University), Navi Mumbai",Trust,2023,100
380,MBBS,Maharashtra,"Mahatma Gandhi Missions Medical College, Aurangabad","MGM Institute of Health Sciences (Deemed University), Navi Mumbai",Trust,1989,200
381,MBBS,Maharashtra,"Mahatma Gandhi Missions Medical College, Navi Mumbai","MGM Institute of Health Sciences (Deemed University), Navi Mumbai",Trust,1989,200
382,MBBS,Maharashtra,"Mahatma Gandhi Missions Medical College, Nerul, Navi Mumbai",MGM Institute of Health Sciences,Private,2024,50
383,MBBS,Maharashtra,"N. K. P. Salve Instt. of Medical Sciences and Research Centre and Lata Mangeshkar Hospital, Nagpur","Maharashtra University of Health Sciences, Nashik",Trust,1990,200
384,MBBS,Maharashtra,"Padmashree Dr. D.Y.Patil Medical College, Navi Mumbai","Padmashree Dr. D Y Patil University (Deemed), Navi Mumbai",Trust,1989,250
385,MBBS,Maharashtra,"Parbhani Medical College, Parbhani","Maharashtra University of Health Sciences, Nashik",Society,2023,150
386,MBBS,Maharashtra,"Prakash Institute of Medical Sciences & Research, Sangli","Maharashtra University of Health Sciences, Nashik",Trust,2016,150
387,MBBS,Maharashtra,"Rajashree Chatrapati Shahu Maharaj Government Medical College, Kolhapur","Maharashtra University of Health Sciences, Nashik",Govt.,2001,150
388,MBBS,Maharashtra,"Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital, Thane","Maharashtra University of Health Sciences, Nashik",Govt.,1992,100
389,MBBS,Maharashtra,"Rural Medical College, Loni","Pravara Institute of Medical Sciences (Deemed University), Ahmednagar",Trust,1984,200
390,MBBS,Maharashtra,"Seth GS Medical College, and KEM Hospital, Mumbai","Maharashtra University of Health Sciences, Nashik",Govt.,1925,250
391,MBBS,Maharashtra,"Shri Ramchandra Institute of Medical Sciences, Aurangabad","Maharashtra University of Health Sciences, Nashik",Trust,2024,50
392,MBBS,Maharashtra,"Shri Vasant Rao Naik Govt. Medical College, Yavatmal","Maharashtra University of Health Sciences, Nashik",Govt.,1989,200
393,MBBS,Maharashtra,"Sindhudurg Shikshan Prasarak Mandal (SSPM) Medical College & Lifetime Hospital, Padave, Sindhudurg","Maharashtra University of Health Sciences, Nashik",Trust,2020,151
394,MBBS,Maharashtra,"SMBT Institute of Medical Sciences & Research Centre, Nandihills, Nashik","Maharashtra University of Health Sciences, Nashik",Trust,2014,150
395,MBBS,Maharashtra,"Smt. Kashibai Navale Medical College and General Hospital,Pune","Maharashtra University of Health Sciences, Nashik",Trust,2007,150
396,MBBS,Maharashtra,"Sri Bhausaheb Hire Government Medical College, Dhule","Maharashtra University of Health Sciences, Nashik",Govt.,1988,150
397,MBBS,Maharashtra,"SRTR Medical College, Ambajogai","Maharashtra University of Health Sciences, Nashik",Govt.,1974,150
398,MBBS,Maharashtra,"Symbiosis Medical College for Women, Pune","Symbiosis International (Deemed) University, pune",Society,2020,150
399,MBBS,Maharashtra,"Terna Medical College, Navi Mumbai","Maharashtra University of Health Sciences, Nashik",Trust,1991,150
400,MBBS,Maharashtra,"Topiwala National Medical College, Mumbai","Maharashtra University of Health Sciences, Nashik",Govt.,1964,150
401,MBBS,Maharashtra,"Vedantaa Institute of Medical Sciences, Palghar, Maharashtra","Maharashtra University of Health Sciences, Nashik",Private,2017,150
402,MBBS,Manipur,"Government Medical College, Churachandpur",Manipur University,Govt.,,100
403,MBBS,Manipur,"Jawaharlal Nehru Institute of Medical Sciences,Porompet,Imphal",Manipur University,Govt.,2010,150
404,MBBS,Manipur,"Regional Institute of Medical Sciences, Imphal",Manipur University,Govt.,1972,125
405,MBBS,Manipur,Shija Academy of Health Sciences,Manipur University,Private,2021,150
406,MBBS,Meghalaya,"North Eastern Indira Gandhi Regional Instt. of Health and Medical Sciences, Shillong","North Eastern Hill University, Shillong",Govt.,2008,50
407,MBBS,Meghalaya,PA Sangma International Medical College & Hospital,"University of Science and Technology, Meghalaya",Trust,2024,150
408,MBBS,Mizoram,"Zoram Medical College, Mizoram",Mizoram University,Govt.,2018,100
409,MBBS,Nagaland,Nagaland Institute of Medical Sciences & Research,Nagaland University,Govt.,2023,100
410,MBBS,Orissa,"All India Institute of Medical Sciences, Bhubaneswar","Statutory Autonomous, AIIMS(New Delhi)",Govt.,2012,125
411,MBBS,Orissa,"Dharanidhar Medical College & Hospital (DDMCH), Keonjhar,","MSCBD University, Baripada",Govt.,2022,100
412,MBBS,Orissa,"DRIEMS Institute of Health Sciences and Hospital, Kairapari",Utkal University,Society,2023,100
413,MBBS,Orissa,"Government Medical College and Hospital, Jajpur","The Orissa University Of Health Sciences, Bhubaneswar",Govt.,2024,50
414,MBBS,Orissa,"Government Medical College & Hospital (Renamed as Bhima Bhoi Medical College & Hospital), Balangir",Sambalpur University,Govt.,2018,100
415,MBBS,Orissa,"Government Medical College & Hospital (Renamed as Fakir Mohan Medical College & Hospital), Balasore","Fakir Mohan Univeristy, Balasore",Govt.,2018,100
416,MBBS,Orissa,"Government Medical College, Sundargarh",Sambalpur University,Govt.,2022,100
